Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Afghanistan,2000,3521418060
Bangladesh,2000,53369787319
India,2000,"4,68E+16"
Sri Lanka,2000,16330814180
Nepal,2000,5494252208
Pakistan,2000,99484802345
Afghanistan,2001,2813571754
Bangladesh,2001,53991289844
India,2001,"4,85E+15"
Sri Lanka,2001,15749753805
Nepal,2001,6007055042
Pakistan,2001,97145618480
Afghanistan,2002,3825701439
Bangladesh,2002,54724081491
India,2002,"5,15E+16"
Sri Lanka,2002,16536535647
Nepal,2002,6050875807
Pakistan,2002,97923302809
Afghanistan,2003,4520946819
Bangladesh,2003,60158929188
India,2003,"6,08E+16"
Sri Lanka,2003,18881765437
Nepal,2003,6330473097
Pakistan,2003,"1,12E+16"
Afghanistan,2004,5224896719
Bangladesh,2004,65108544250
India,2004,"7,09E+16"
Sri Lanka,2004,20662525941
Nepal,2004,7273938315
Pakistan,2004,"1,32E+16"
Afghanistan,2005,6203256539
Bangladesh,2005,69476001430
India,2005,"8,20E+16"
Sri Lanka,2005,24405791045
Nepal,2005,8130258378
Pakistan,2005,"1,45E+16"
Afghanistan,2006,6971758282
Bangladesh,2006,71795735672
India,2006,"9,40E+15"
Sri Lanka,2006,28279802406
Nepal,2006,9043715356
Pakistan,2006,"1,62E+16"
Afghanistan,2007,9747886187
Bangladesh,2007,79611644984
India,2007,"1,22E+17"
Sri Lanka,2007,32350238760
Nepal,2007,10325618017
Pakistan,2007,"1,84E+16"
Afghanistan,2008,10109297048
Bangladesh,2008,91636997445
India,2008,"1,20E+16"
Sri Lanka,2008,40713826215
Nepal,2008,12545438605
Pakistan,2008,"2,02E+16"
Afghanistan,2009,12416152732
Bangladesh,2009,"1,02E+16"
India,2009,"1,34E+17"
Sri Lanka,2009,42066224093
Nepal,2009,12854985464
Pakistan,2009,"1,87E+16"
Afghanistan,2010,15856668556
Bangladesh,2010,"1,15E+16"
India,2010,"1,68E+17"
Sri Lanka,2010,58636161082
Nepal,2010,16002656434
Pakistan,2010,"1,97E+15"
Afghanistan,2011,17805098206
Bangladesh,2011,"1,29E+16"
India,2011,"1,82E+17"
Sri Lanka,2011,67753284044
Nepal,2011,21573872421
Pakistan,2011,"2,31E+16"
Afghanistan,2012,19907329778
Bangladesh,2012,"1,33E+16"
India,2012,"1,83E+17"
Sri Lanka,2012,70447216891
Nepal,2012,21703100877
Pakistan,2012,"2,50E+16"
Afghanistan,2013,20146416758
Bangladesh,2013,"1,50E+16"
India,2013,"1,86E+17"
Sri Lanka,2013,77000578167
Nepal,2013,22162204925
Pakistan,2013,"2,59E+16"
Afghanistan,2014,20497128556
Bangladesh,2014,"1,73E+16"
India,2014,"2,04E+17"
Sri Lanka,2014,82528535714
Nepal,2014,22731612922
Pakistan,2014,"2,71E+15"
Afghanistan,2015,19134221645
Bangladesh,2015,"1,95E+16"
India,2015,"2,10E+17"
Sri Lanka,2015,85140955389
Nepal,2015,24360801287
Pakistan,2015,"3,00E+16"
Afghanistan,2016,18116572395
Bangladesh,2016,"2,65E+16"
India,2016,"2,29E+16"
Sri Lanka,2016,88012282206
Nepal,2016,24524109484
Pakistan,2016,"3,14E+15"
Afghanistan,2017,18753456498
Bangladesh,2017,"2,94E+16"
India,2017,"2,65E+17"
Sri Lanka,2017,94376237797
Nepal,2017,28971588940
Pakistan,2017,"3,39E+16"
Afghanistan,2018,18053222687
Bangladesh,2018,"3,21E+16"
India,2018,"2,70E+17"
Sri Lanka,2018,94493871201
Nepal,2018,33111525237
Pakistan,2018,"3,56E+16"
Afghanistan,2019,18799444490
Bangladesh,2019,"3,51E+16"
India,2019,"2,84E+17"
Sri Lanka,2019,89014978344
Nepal,2019,34186180699
Pakistan,2019,"3,21E+16"
Afghanistan,2020,19955929052
Bangladesh,2020,"3,74E+16"
India,2020,"2,67E+17"
Sri Lanka,2020,84304298771
Nepal,2020,33433659301
Pakistan,2020,"3,00E+16"
Afghanistan,2021,14266499430
Bangladesh,2021,"4,16E+16"
India,2021,"3,17E+17"
Sri Lanka,2021,88609332762
Nepal,2021,36924841394
Pakistan,2021,"3,49E+16"
Afghanistan,2022,14502158192
Bangladesh,2022,"4,60E+16"
India,2022,"3,35E+17"
Sri Lanka,2022,74144875098
Nepal,2022,41182939601
Pakistan,2022,"3,75E+16"
